Steps, Time,,,,,,Steps, Time
23,0.110000134,,,,,,20,0.015000105
23,0.099999905,,,,,,23,0.007999897
23,0.029999971,,,,,,18,0.030999899
23,0.057999849,,,,,,26,0.154999971
23,0.018000126,,,,,,21,0.029999971
23,0.042999983,,,,,,27,0.269999981
23,0.325999975,,,,,,23,0.065999985
23,0.072000027,,,,,,25,0.082999945
23,0.165999889,,,,,,22,0.023000002
23,0.128999949,,,,,,14,0.001999855
23,0.166999817,,,,,,26,0.242000103
23,0.038000107,,,,,,25,0.036999941
23,0.011000156,,,,,,24,0.126000166
23,0.110999823,,,,,,21,0.05099988
23,0.045000076,,,,,,21,0.023000002
23,0.092999935,,,,,,25,0.093000174
23,0.019999981,,,,,,21,0.029000044
23,0.11500001,,,,,,29,0.605999947
23,0.075000048,,,,,,21,0.015000105
23,0.03399992,,,,,,27,0.083999872
23,0.11500001,,,,,,18,0.003999949
23,0.019000053,,,,,,25,0.064999819
23,0.036999941,,,,,,27,0.177999973
23,0.01699996,,,,,,23,0.077000141
23,0.029000044,,,,,,27,0.107000113
23,0.023999929,,,,,,22,0.020999908
24,0.134000063,0.141911093,24,,,,25,0.023000002
24,0.128000021,,,,,,22,0.034000158
24,0.08100009,,,,,,18,0.011000156
24,0.109999895,,,,,,26,0.238000154
24,0.138000011,,,,,,22,0.061000109
24,0.151000023,,,,,,20,0.006999969
24,0.04700017,,,,,,24,0.161000013
24,0.072999954,,,,,,25,0.137000084
24,0.746999979,,,,,,22,0.065999985
24,0.111999989,,,,,,24,0.032999992
24,0.315999985,,,,,,17,0.016000032
24,0.086999893,,,,,,21,0.055000067
24,0.100000143,,,,,,20,0.055999994
24,0.414999962,,,,,,22,0.111000061
24,0.151000023,,,,,,21,0.008000135
24,0.078999996,,,,,,24,0.004999876
24,0.211999893,,,,,,27,0.093999863
24,0.083999872,,,,,,24,0.077000141
24,0.165999889,,,,,,19,0.024000168
24,0.021999836,,,,,,17,0.016000032
24,0.046000004,,,,,,27,0.547999859
24,0.155999899,,,,,,26,0.196000099
24,0.063999891,,,,,,19,0.006000042
24,0.032000065,,,,,,21,0.030999899
24,0.207999945,,,,,,22,0.015000105
24,0.092999935,,,,,,26,0.220999956
24,0.017999887,,,,,,24,0.068000078
24,0.117000103,,,,,,16,0.001999855
24,0.304999828,,,,,,23,0.037999868
24,0.042000055,,,,,,25,0.04399991
24,0.149999857,,,,,,25,0.226999998
24,0.070000172,,,,,,24,0.019000053
24,0.066999912,,,,,,23,0.105000019
24,0.082999945,,,,,,27,0.256999969
24,0.038000107,,,,,,25,0.088000059
24,0.392999887,,,,,,25,0.026000023
24,0.051000118,,,,,,22,0.052999973
24,0.057999849,,,,,,26,0.030999899
24,0.066999912,,,,,,24,0.108999968
24,0.110000134,,,,,,22,0.053000212
24,0.366000175,,,,,,24,0.039000034
24,0.022000074,,,,,,20,0.010999918
24,0.115999937,,,,,,23,0.274000168
24,0.039999962,,,,,,22,0.018999815
24,0.320999861,,,,,,15,0.007999897
25,0.099999905,0.153449276,25,,,,23,0.019999981
25,0.226000071,,,,,,27,0.038000107
25,0.014000177,,,,,,18,0.00999999
25,0.088999987,,,,,,22,0.013999939
25,0.170000076,,,,,,22,0.006999969
25,0.213999987,,,,,,25,0.18900013
25,0.10800004,,,,,,24,0.022000074
25,0.042000055,,,,,,21,0.014999866
25,0.272000074,,,,,,22,0.088000059
25,0.189999819,,,,,,18,0.004000187
25,0.164000034,,,,,,22,0.003999949
25,0.588000059,,,,,,20,0.026000023
25,0.039999962,,,,,,24,0.042999983
25,0.278999805,,,,,,26,0.239000082
25,0.134000063,,,,,,26,0.348999977
25,0.023000002,,,,,,27,0.131999969
25,0.049000025,,,,,,22,0.006999969
25,0.106999874,,,,,,22,0.050000191
25,0.084000111,,,,,,26,0.138999939
25,0.120000124,,,,,,23,0.062999964
